Record Length,2500,Points,51.59999803E-3,-59.999998659E-3,,Record Length,2500,Points,51.59999803E-3,2.4199998,,Record Length,2500,Points,51.59999803E-3,319.99999285E-3,,Record Length,2500,Points,51.59999803E-3,-639.999985695E-3,
Sample Interval,39.99999899E-6,s,51.63999647E-3,-39.99999911E-3,,Sample Interval,39.99999899E-6,s,51.63999647E-3,2.4199998,,Sample Interval,39.99999899E-6,s,51.63999647E-3,280.00000119E-3,,Sample Interval,39.99999899E-6,s,51.63999647E-3,-639.999985695E-3,
Trigger Point,-1.2900000E3,Samples,51.67999864E-3,-39.99999911E-3,,Trigger Point,-1.2900000E3,Samples,51.67999864E-3,2.3999999,,Trigger Point,-1.2900000E3,Samples,51.67999864E-3,280.00000119E-3,,Trigger Point,-1.2900000E3,Samples,51.67999864E-3,-639.999985695E-3,
,,,51.71999708E-3,-59.999998659E-3,,,,,51.71999708E-3,2.3999999,,,,,51.71999708E-3,319.99999285E-3,,,,,51.71999708E-3,-639.999985695E-3,
,,,51.75999925E-3,-59.999998659E-3,,,,,51.75999925E-3,2.3999999,,,,,51.75999925E-3,319.99999285E-3,,,,,51.75999925E-3,-639.999985695E-3,
,,,51.79999769E-3,-59.999998659E-3,,,,,51.79999769E-3,2.4199998,,,,,51.79999769E-3,319.99999285E-3,,,,,51.79999769E-3,-639.999985695E-3,
Source,CH1,,51.83999985E-3,-39.99999911E-3,,Source,CH2,,51.83999985E-3,2.4199998,,Source,CH4,,51.83999985E-3,319.99999285E-3,,Source,MATH,,51.83999985E-3,-639.999985695E-3,
Vertical Units,Volts,,51.87999830E-3,-59.999998659E-3,,Vertical Units,Volts,,51.87999830E-3,2.4199998,,Vertical Units,Volts,,51.87999830E-3,319.99999285E-3,,Vertical Units,Volts,,51.87999830E-3,-639.999985695E-3,
Vertical Scale,499.999988824E-3,,51.91999674E-3,-59.999998659E-3,,Vertical Scale,499.999988824E-3,,51.91999674E-3,2.4199998,,Vertical Scale,999.999977648E-3,,51.91999674E-3,280.00000119E-3,,Vertical Scale,999.999977648E-3,,51.91999674E-3,-639.999985695E-3,
Vertical Offset,0,,51.95999891E-3,-59.999998659E-3,,Vertical Offset,0,,51.95999891E-3,2.4199998,,Vertical Offset,0,,51.95999891E-3,319.99999285E-3,,Vertical Offset,0,,51.95999891E-3,-639.999985695E-3,
Horizontal Units,s,,51.99999735E-3,-59.999998659E-3,,Horizontal Units,s,,51.99999735E-3,2.4199998,,Horizontal Units,s,,51.99999735E-3,319.99999285E-3,,Horizontal Units,s,,51.99999735E-3,-639.999985695E-3,
Horizontal Scale,9.999999747E-3,,52.03999951E-3,-59.999998659E-3,,Horizontal Scale,9.999999747E-3,,52.03999951E-3,2.4199998,,Horizontal Scale,9.999999747E-3,,52.03999951E-3,280.00000119E-3,,Horizontal Scale,9.999999747E-3,,52.03999951E-3,-639.999985695E-3,
Pt Fmt,Y,,52.07999796E-3,-59.999998659E-3,,Pt Fmt,Y,,52.07999796E-3,2.3999999,,Pt Fmt,Y,,52.07999796E-3,319.99999285E-3,,Pt Fmt,Y,,52.07999796E-3,-639.999985695E-3,
